GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Pruebas Unitarias con JUnit 5,pe.com.lab04,Movimiento,0,21,0,0,0,8,0,4,0,4
Pruebas Unitarias con JUnit 5,pe.com.lab04,Producto,0,139,1,15,0,33,1,16,0,9
